bufferSize downloadTime fileSize fileName
131072 10365 3247297 kitten.png
131072 10529 3247297 kitten.png
131072 74063 3247297 kitten.png
131072 13986 3247297 kitten.png
262144 13985 3247297 kitten.png
262144 19022 3247297 kitten.png
262144 15368 3247297 kitten.png
262144 13802 3247297 kitten.png
262144 8743 3247297 kitten.png
262144 40620 3247297 kitten.png
262144 11727 3247297 kitten.png
262144 12593 3247297 kitten.png
262144 10464 3247297 kitten.png
262144 14572 3247297 kitten.png
262144 15842 3247297 kitten.png
262144 85964 3247297 kitten.png
262144 9673 3247297 kitten.png
262144 12246 3247297 kitten.png
262144 13460 3247297 kitten.png
262144 13346 3247297 kitten.png
262144 873076 3247297 kitten.png
262144 119057 3247297 kitten.png
262144 14435 3247297 kitten.png
262144 17858 3247297 kitten.png
524288 15369 3247297 kitten.png
524288 11284 3247297 kitten.png
524288 9760 3247297 kitten.png
524288 8658 3247297 kitten.png
524288 11130 3247297 kitten.png
524288 8503 3247297 kitten.png
524288 8767 3247297 kitten.png
524288 10825 3247297 kitten.png
524288 7648 3247297 kitten.png
524288 9575 3247297 kitten.png
524288 10988 3247297 kitten.png
524288 7015 3247297 kitten.png
524288 10434 3247297 kitten.png
524288 10828 3247297 kitten.png
524288 7284 3247297 kitten.png
524288 10381 3247297 kitten.png
524288 9624 3247297 kitten.png
524288 8517 3247297 kitten.png
524288 10751 3247297 kitten.png
524288 18630 3247297 kitten.png
1048576 18726 3247297 kitten.png
1048576 18660 3247297 kitten.png
1048576 11050 3247297 kitten.png
1048576 7588 3247297 kitten.png
1048576 10134 3247297 kitten.png
1048576 10478 3247297 kitten.png
1048576 8394 3247297 kitten.png
1048576 10068 3247297 kitten.png
1048576 10246 3247297 kitten.png
1048576 8618 3247297 kitten.png
1048576 11151 3247297 kitten.png
1048576 19057 3247297 kitten.png
1048576 16866 3247297 kitten.png
1048576 14427 3247297 kitten.png
1048576 17349 3247297 kitten.png
1048576 15647 3247297 kitten.png
1048576 11208 3247297 kitten.png
1048576 16195 3247297 kitten.png
1048576 11062 3247297 kitten.png
1048576 9515 3247297 kitten.png
2097152 9006 3247297 kitten.png
2097152 10923 3247297 kitten.png
2097152 8866 3247297 kitten.png
2097152 1179837 3247297 kitten.png
2097152 207043 3247297 kitten.png
2097152 18972 3247297 kitten.png
2097152 18098 3247297 kitten.png
2097152 10454 3247297 kitten.png
2097152 9551 3247297 kitten.png
2097152 9451 3247297 kitten.png
2097152 11760 3247297 kitten.png
2097152 10608 3247297 kitten.png
2097152 9681 3247297 kitten.png
2097152 10875 3247297 kitten.png
2097152 9923 3247297 kitten.png
2097152 8473 3247297 kitten.png
2097152 10145 3247297 kitten.png
2097152 9745 3247297 kitten.png
2097152 9881 3247297 kitten.png
2097152 10113 3247297 kitten.png
4194304 18381 3247297 kitten.png
4194304 14705 3247297 kitten.png
4194304 15198 3247297 kitten.png
4194304 14749 3247297 kitten.png
4194304 13707 3247297 kitten.png
4194304 15522 3247297 kitten.png
4194304 460706 3247297 kitten.png
4194304 139139 3247297 kitten.png
4194304 128656 3247297 kitten.png
4194304 126701 3247297 kitten.png
4194304 66317 3247297 kitten.png
4194304 55478 3247297 kitten.png
4194304 127559 3247297 kitten.png
4194304 129927 3247297 kitten.png
4194304 21034 3247297 kitten.png
4194304 26802 3247297 kitten.png
4194304 11678 3247297 kitten.png
4194304 8882 3247297 kitten.png
4194304 13589 3247297 kitten.png
4194304 17507 3247297 kitten.png
8388608 11503 3247297 kitten.png
8388608 9100 3247297 kitten.png
8388608 10486 3247297 kitten.png
8388608 9674 3247297 kitten.png
8388608 10083 3247297 kitten.png
8388608 11938 3247297 kitten.png
8388608 9622 3247297 kitten.png
8388608 8575 3247297 kitten.png
8388608 10185 3247297 kitten.png
8388608 10500 3247297 kitten.png
8388608 16095 3247297 kitten.png
8388608 9207 3247297 kitten.png
8388608 12436 3247297 kitten.png
8388608 12031 3247297 kitten.png
8388608 9601 3247297 kitten.png
8388608 18036 3247297 kitten.png
8388608 14184 3247297 kitten.png
8388608 18585 3247297 kitten.png
8388608 14055 3247297 kitten.png
8388608 12012 3247297 kitten.png
16777216 12527 3247297 kitten.png
16777216 10723 3247297 kitten.png
16777216 8173 3247297 kitten.png
16777216 9962 3247297 kitten.png
16777216 10545 3247297 kitten.png
16777216 12333 3247297 kitten.png
16777216 10156 3247297 kitten.png
16777216 11356 3247297 kitten.png
16777216 11612 3247297 kitten.png
16777216 14903 3247297 kitten.png
16777216 10384 3247297 kitten.png
16777216 9311 3247297 kitten.png
16777216 10816 3247297 kitten.png
16777216 11274 3247297 kitten.png
16777216 8653 3247297 kitten.png
16777216 11275 3247297 kitten.png
16777216 11016 3247297 kitten.png
16777216 10809 3247297 kitten.png
16777216 9737 3247297 kitten.png
16777216 10234 3247297 kitten.png
33554432 8377 3247297 kitten.png
33554432 12893 3247297 kitten.png
33554432 12927 3247297 kitten.png
33554432 83130 3247297 kitten.png
33554432 12227 3247297 kitten.png
33554432 10790 3247297 kitten.png
