bufferSize downloadTime fileSize fileName
512 4310354 3247297 kitten.png
512 4135207 3247297 kitten.png
512 4456318 3247297 kitten.png
512 3610798 3247297 kitten.png
512 4017079 3247297 kitten.png
512 3582576 3247297 kitten.png
512 3689034 3247297 kitten.png
1024 3655114 3247297 kitten.png
1024 3724196 3247297 kitten.png
1024 3637451 3247297 kitten.png
1024 3615228 3247297 kitten.png
1024 3597357 3247297 kitten.png
1024 3639749 3247297 kitten.png
1024 3596078 3247297 kitten.png
1024 3678896 3247297 kitten.png
1024 3712254 3247297 kitten.png
1024 3593634 3247297 kitten.png
1024 3926429 3247297 kitten.png
1024 3616237 3247297 kitten.png
1024 5627627 3247297 kitten.png
1024 4383614 3247297 kitten.png
1024 4060698 3247297 kitten.png
1024 7144208 3247297 kitten.png
1024 3897799 3247297 kitten.png
1024 4016167 3247297 kitten.png
1024 4767541 3247297 kitten.png
1024 3830488 3247297 kitten.png
2048 3816782 3247297 kitten.png
2048 7624887 3247297 kitten.png
2048 3863762 3247297 kitten.png
2048 4306435 3247297 kitten.png
2048 4194487 3247297 kitten.png
2048 4193171 3247297 kitten.png
2048 4265146 3247297 kitten.png
2048 7316156 3247297 kitten.png
2048 5058742 3247297 kitten.png
2048 4507359 3247297 kitten.png
2048 4113133 3247297 kitten.png
2048 4376581 3247297 kitten.png
2048 3959723 3247297 kitten.png
2048 3900444 3247297 kitten.png
2048 3890974 3247297 kitten.png
2048 3854173 3247297 kitten.png
2048 3997959 3247297 kitten.png
2048 3731676 3247297 kitten.png
2048 3823581 3247297 kitten.png
2048 3764772 3247297 kitten.png
4096 4228130 3247297 kitten.png
4096 3892487 3247297 kitten.png
4096 3927469 3247297 kitten.png
4096 3823009 3247297 kitten.png
4096 3858217 3247297 kitten.png
4096 3875515 3247297 kitten.png
4096 3898946 3247297 kitten.png
4096 4547235 3247297 kitten.png
4096 4081619 3247297 kitten.png
4096 3894754 3247297 kitten.png
4096 3989185 3247297 kitten.png
4096 4411169 3247297 kitten.png
4096 3858086 3247297 kitten.png
4096 3823906 3247297 kitten.png
4096 4009968 3247297 kitten.png
4096 3899580 3247297 kitten.png
4096 3834890 3247297 kitten.png
4096 7171952 3247297 kitten.png
4096 4575462 3247297 kitten.png
4096 4156612 3247297 kitten.png
8192 3994949 3247297 kitten.png
8192 3903108 3247297 kitten.png
8192 3786383 3247297 kitten.png
8192 3815690 3247297 kitten.png
8192 4431500 3247297 kitten.png
8192 3881064 3247297 kitten.png
8192 3809125 3247297 kitten.png
8192 3777653 3247297 kitten.png
8192 3801322 3247297 kitten.png
8192 3783764 3247297 kitten.png
